# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 0.00000000 0.00000000
2.61000000 0.00000000 0.00000000
2.67000000 0.93167413 0.26666667
2.73000000 2.67351924 1.06666667
2.79000000 0.85325667 1.33333333
2.85000000 1.63541912 1.86666667
2.91000000 4.70603032 3.46666667
2.97000000 7.52969120 6.13333333
3.03000000 0.36172239 6.26666667
3.09000000 0.69562348 6.53333333
3.15000000 1.33875342 7.06666667
3.21000000 0.00000000 7.06666667
3.27000000 6.21150937 9.73333333
3.33000000 2.39587750 10.80000000
3.39000000 1.15591020 11.33333333
3.45000000 0.00000000 11.33333333
3.51000000 0.00000000 11.33333333
3.57000000 0.00000000 11.33333333
3.63000000 0.00000000 11.33333333
3.69000000 0.00000000 11.33333333
3.75000000 0.00000000 11.33333333
3.81000000 0.00000000 11.33333333
3.87000000 0.00000000 11.33333333
3.93000000 0.00000000 11.33333333
3.99000000 0.00000000 11.33333333
4.05000000 0.00000000 11.33333333
4.11000000 0.00000000 11.33333333
4.17000000 0.00000000 11.33333333
4.23000000 0.00000000 11.33333333
4.29000000 0.00000000 11.33333333
4.35000000 0.00000000 11.33333333
4.41000000 0.00000000 11.33333333
4.47000000 0.66483406 11.86666667
4.53000000 0.00000000 11.86666667
4.59000000 0.00000000 11.86666667
4.65000000 0.61435995 12.40000000
4.71000000 0.89821107 13.20000000
4.77000000 0.58383798 13.73333333
4.83000000 0.56942297 14.26666667
4.89000000 2.49990887 16.66666667
4.95000000 1.08429913 17.73333333
5.01000000 2.64620930 20.40000000
5.07000000 0.51678969 20.93333333
5.13000000 0.75715781 21.73333333
5.19000000 0.49316844 22.26666667
5.25000000 0.24098028 22.53333333
5.31000000 0.47113044 23.06666667
5.37000000 0.00000000 23.06666667
5.43000000 0.00000000 23.06666667
5.49000000 0.00000000 23.06666667
5.55000000 0.00000000 23.06666667
5.61000000 0.00000000 23.06666667
5.67000000 0.41320414 23.60000000
5.73000000 0.60689405 24.40000000
5.79000000 0.19812707 24.66666667
5.85000000 0.00000000 24.66666667
5.91000000 0.38032611 25.20000000
5.97000000 0.37271984 25.73333333
