# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 2.16669815 0.80000000
2.55000000 1.03297004 1.20000000
2.61000000 1.97205026 2.00000000
2.67000000 0.94220917 2.40000000
2.73000000 0.45062507 2.60000000
2.79000000 0.43145249 2.80000000
2.85000000 0.82695593 3.20000000
2.91000000 0.39660370 3.40000000
2.97000000 0.00000000 3.40000000
3.03000000 1.09743785 4.00000000
3.09000000 0.00000000 4.00000000
3.15000000 0.00000000 4.00000000
3.21000000 0.00000000 4.00000000
3.27000000 0.00000000 4.00000000
3.33000000 0.00000000 4.00000000
3.39000000 0.00000000 4.00000000
3.45000000 0.00000000 4.00000000
3.51000000 0.00000000 4.00000000
3.57000000 0.00000000 4.00000000
3.63000000 0.00000000 4.00000000
3.69000000 0.00000000 4.00000000
3.75000000 0.00000000 4.00000000
3.81000000 0.00000000 4.00000000
3.87000000 0.00000000 4.00000000
3.93000000 0.00000000 4.00000000
3.99000000 0.00000000 4.00000000
4.05000000 0.00000000 4.00000000
4.11000000 0.00000000 4.00000000
4.17000000 0.00000000 4.00000000
4.23000000 0.00000000 4.00000000
4.29000000 0.00000000 4.00000000
4.35000000 0.00000000 4.00000000
4.41000000 0.00000000 4.00000000
4.47000000 0.00000000 4.00000000
4.53000000 0.16366483 4.20000000
4.59000000 0.15941404 4.40000000
4.65000000 0.31065346 4.80000000
4.71000000 0.15139462 5.00000000
4.77000000 0.14760995 5.20000000
4.83000000 0.14396545 5.40000000
4.89000000 0.14045427 5.60000000
4.95000000 0.00000000 5.60000000
5.01000000 0.26761317 6.00000000
5.07000000 0.00000000 6.00000000
5.13000000 0.00000000 6.00000000
5.19000000 0.00000000 6.00000000
5.25000000 0.00000000 6.00000000
5.31000000 0.00000000 6.00000000
5.37000000 0.00000000 6.00000000
5.43000000 0.11390795 6.20000000
5.49000000 0.22286359 6.60000000
5.55000000 0.10903550 6.80000000
5.61000000 0.00000000 6.80000000
5.67000000 0.00000000 6.80000000
5.73000000 0.20458553 7.20000000
5.79000000 0.10018371 7.40000000
5.85000000 0.09813922 7.60000000
5.91000000 0.09615667 7.80000000
5.97000000 0.00000000 7.80000000
